student_id,model,provider,diagnostic_chars,diagnostic_words,diagnostic_quoted_pairs,diagnostic_example_markers,diagnostic_lesson_like_markers,diagnostic_title_overlap_0_1,diagnostic_actionability_0_1,score_diagnostic_heuristic_0_100,homework_question_count,homework_unique_lessons,homework_unique_question_ids,homework_skill_categories,homework_avg_reason_chars,homework_median_reason_chars,homework_pct_lesson_in_tiered_candidates,homework_pct_question_id_in_pool,homework_difficulty_distribution,score_homework_heuristic_0_100,score_overall_heuristic_0_100,tier_overall,notes_vi
1585392_newstudent,gpt-4.1,openai,2849,614,11,1,4,1.0,1.0,97.1,15,6,12,grammar;speaking;vocabulary,132.6,131.0,1.0,0.8,easy:14;medium:1,90.8,94.3,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 97/100, homework 91/100."
1585392_newstudent,gpt-5.4-mini,openai,6630,1435,65,3,8,0.667,1.0,96.5,15,6,11,grammar;speaking;vocabulary,241.8,245.0,1.0,0.7333,easy:14;medium:1,88.9,93.2,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 96/100, homework 89/100."
1585392_newstudent,gpt-5.4-nano,openai,6995,1384,56,12,5,0.333,1.0,91.5,15,5,15,grammar;pronunciation;speaking;vocabulary,253.1,242.0,1.0,0.9333,easy:6;medium:6;hard:3,92.5,92.9,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 92/100, homework 93/100."
1585392_newstudent,gpt-4.1-mini,openai,2934,646,18,0,3,1.0,1.0,95.6,15,4,12,grammar;speaking;vocabulary,132.1,133.0,1.0,0.8,easy:15,87.0,91.9,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 96/100, homework 87/100."
1585392_newstudent,gemini-2.5-flash-lite,google,3046,655,27,2,8,1.0,0.667,93.3,15,3,14,grammar;speaking;vocabulary,139.6,137.0,1.0,0.9333,easy:15,88.8,91.8,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 93/100, homework 89/100."
1585392_newstudent,gemini-2.5-flash,google,2474,530,22,1,4,0.333,0.5,80.1,15,6,14,grammar;other;speaking;vocabulary,188.2,188.0,1.0,0.9333,easy:15,94.4,89.0,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 80/100, homework 94/100."
1585392_newstudent,gpt-5.4,openai,6381,1397,34,2,2,0.0,1.0,83.7,15,6,12,grammar;speaking;vocabulary,226.7,228.0,1.0,0.8,easy:11;medium:4,90.8,88.7,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 84/100, homework 91/100."
1585392_newstudent,gemini-2.5-pro,google,2565,575,13,1,0,0.0,1.0,80.8,15,7,12,grammar;other;speaking;vocabulary,188.6,192.0,1.0,0.8,easy:10;medium:5,92.6,88.4,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 81/100, homework 93/100."
1585392_newstudent,gemini-3.1-pro-preview,google,2773,631,10,0,1,0.333,0.833,82.4,15,6,11,grammar;speaking;vocabulary,183.8,169.0,1.0,0.7333,medium:8;easy:7,88.9,87.3,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 82/100, homework 89/100."
1585392_newstudent,gpt-4.1-nano,openai,2456,534,12,0,1,0.0,1.0,82.2,15,1,8,grammar;other;pronunciation;speaking;vocabulary,87.9,87.0,1.0,1.0,easy:9;medium:6,82.9,84.3,A,"Bài tập bám chặt question pool. Diagnostic có dẫn chứng (trích dẫn/thực tế). Homework tập trung quá ít bài học. Điểm heuristic: diagnostic 82/100, homework 83/100."
2102555,gpt-5.4-nano,openai,6988,1395,86,12,26,1.0,1.0,100.0,15,6,15,grammar;speaking;vocabulary,234.2,229.0,1.0,0.8,hard:7;medium:6;easy:2,90.8,95.6,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 100/100, homework 91/100."
2102555,gpt-4.1,openai,2858,633,17,7,2,0.267,1.0,86.5,15,6,15,grammar;speaking;vocabulary,134.9,133.0,1.0,1.0,medium:15,96.2,92.5,A,"Bài tập bám chặt question pool. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 86/100, homework 96/100."
2102555,gpt-5.4-mini,openai,5851,1248,30,1,16,0.267,1.0,92.3,15,6,13,grammar;speaking;vocabulary,220.3,218.0,1.0,0.8,easy:10;medium:5,90.8,92.3,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 92/100, homework 91/100."
2102555,gemini-2.5-flash,google,3244,709,25,3,4,0.533,0.833,88.9,15,7,12,grammar;speaking;vocabulary,191.5,186.0,1.0,0.8,medium:8;easy:7,92.6,91.8,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 89/100, homework 93/100."
2102555,gpt-4.1-mini,openai,2419,548,10,3,3,0.267,1.0,87.9,15,3,15,grammar;speaking;vocabulary,141.9,137.0,1.0,1.0,easy:9;medium:6,90.6,90.4,A,"Bài tập bám chặt question pool. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 88/100, homework 91/100."
2102555,gpt-5.4,openai,8350,1765,37,1,38,0.0,1.0,89.5,15,6,11,grammar;speaking;vocabulary,218.9,220.0,1.0,0.7333,easy:9;medium:6,88.9,90.3,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 90/100, homework 89/100."
2102555,gemini-2.5-flash-lite,google,2500,539,27,3,7,0.8,0.333,84.6,15,4,15,grammar;vocabulary,138.2,133.0,1.0,1.0,easy:14;medium:1,92.5,89.9,A,"Bài tập bám chặt question pool. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 85/100, homework 92/100."
2102555,gemini-2.5-pro,google,2382,528,11,2,2,0.0,0.667,77.0,15,7,12,grammar;speaking;vocabulary,180.6,178.0,1.0,0.8,medium:7;easy:5;hard:3,92.6,86.8,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 77/100, homework 93/100."
2102555,gemini-3.1-pro-preview,google,2652,606,0,2,1,0.0,0.833,64.9,15,8,13,grammar;speaking;vocabulary,181.1,176.0,1.0,0.8667,medium:9;easy:4;hard:2,96.3,83.5,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 65/100, homework 96/100."
2102555,gpt-4.1-nano,openai,1896,427,5,0,1,0.267,0.667,77.0,15,2,7,other;speaking;vocabulary,77.2,78.0,1.0,0.4667,easy:8;medium:7,68.7,75.3,B,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Homework tập trung quá ít bài học. Điểm heuristic: diagnostic 77/100, homework 69/100."
2109886,gpt-5.4,openai,8244,1787,24,0,48,0.0,1.0,89.5,15,13,14,grammar;speaking;vocabulary,247.7,248.0,1.0,0.9333,medium:8;hard:7,98.2,94.7,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 90/100, homework 98/100."
2109886,gpt-4.1,openai,2758,599,18,1,3,0.0,1.0,85.1,15,9,15,grammar;speaking;vocabulary,121.4,116.0,1.0,1.0,medium:9;easy:5;hard:1,100.0,93.8,A,"Bài tập bám chặt question pool. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 85/100, homework 100/100."
2109886,gemini-2.5-flash-lite,google,2731,584,22,1,11,1.0,0.833,96.7,15,1,15,grammar;speaking;vocabulary,119.6,120.0,1.0,1.0,medium:15,86.8,92.3,A,"Bài tập bám chặt question pool. Diagnostic có dẫn chứng (trích dẫn/thực tế). Homework tập trung quá ít bài học. Điểm heuristic: diagnostic 97/100, homework 87/100."
2109886,gpt-5.4-mini,openai,6083,1331,36,2,24,0.0,1.0,89.5,15,7,12,grammar;speaking;vocabulary,237.6,249.0,1.0,0.8,easy:14;medium:1,92.6,92.1,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 90/100, homework 93/100."
2109886,gpt-4.1-mini,openai,2461,540,11,0,7,0.0,1.0,89.5,15,5,14,grammar;speaking;vocabulary,116.2,118.0,1.0,0.9333,medium:15,92.1,91.8,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 90/100, homework 92/100."
2109886,gemini-2.5-pro,google,2590,586,10,1,4,0.0,1.0,86.6,15,11,12,grammar;speaking;vocabulary,186.1,186.0,1.0,0.8,medium:8;hard:5;easy:2,94.5,91.7,A,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 87/100, homework 94/100."
2109886,gpt-5.4-nano,openai,7428,1481,57,18,32,0.0,1.0,89.5,15,5,13,grammar;speaking;vocabulary,221.1,218.0,1.0,0.8667,medium:7;hard:5;easy:3,90.7,91.1,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 90/100, homework 91/100."
2109886,gemini-2.5-flash,google,2764,600,26,4,5,0.0,0.333,74.7,15,10,13,grammar;speaking;vocabulary,155.5,160.0,1.0,0.8667,easy:13;medium:2,96.3,87.6,A,"Diagnostic có dẫn chứng (trích dẫn/thực tế). Điểm heuristic: diagnostic 75/100, homework 96/100."
2109886,gemini-3.1-pro-preview,google,2118,482,0,0,7,0.0,0.667,67.1,15,11,12,grammar;speaking;vocabulary,187.3,183.0,1.0,0.8,medium:10;hard:3;easy:2,94.5,83.5,A,"Một số câu homework ngoài pool hoặc question_id lệch. Điểm heuristic: diagnostic 67/100, homework 94/100."
2109886,gpt-4.1-nano,openai,1818,413,2,1,0,0.0,1.0,71.7,15,2,12,other;speaking,90.7,87.0,1.0,0.8,medium:12;easy:3,79.6,78.3,B,"Một số câu homework ngoài pool hoặc question_id lệch. Diagnostic có dẫn chứng (trích dẫn/thực tế). Homework tập trung quá ít bài học. Điểm heuristic: diagnostic 72/100, homework 80/100."
__mean_3_students__,gemini-2.5-flash,google,2827.33,613.0,24.33,2.67,4.33,0.2887,0.5553,81.23,15.0,7.67,13.0,,178.4,178.0,1.0,0.8667,,94.43,89.47,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gemini-2.5-flash-lite,google,2759.0,592.67,25.33,2.0,8.67,0.9333,0.611,91.53,15.0,2.67,14.67,,132.47,130.0,1.0,0.9778,,89.37,91.33,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gemini-2.5-pro,google,2512.33,563.0,11.33,1.33,2.0,0.0,0.889,81.47,15.0,8.33,12.0,,185.1,185.33,1.0,0.8,,93.23,88.97,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gemini-3.1-pro-preview,google,2514.33,573.0,3.33,0.67,3.0,0.111,0.7777,71.47,15.0,8.33,12.0,,184.07,176.0,1.0,0.8,,93.23,84.77,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gpt-4.1,openai,2821.67,615.33,15.33,3.0,3.0,0.4223,1.0,89.57,15.0,7.0,14.0,,129.63,126.67,1.0,0.9333,,95.67,93.53,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gpt-4.1-mini,openai,2604.67,578.0,13.0,1.0,4.33,0.4223,1.0,91.0,15.0,4.0,13.67,,130.07,129.33,1.0,0.9111,,89.9,91.37,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gpt-4.1-nano,openai,2056.67,458.0,6.33,0.33,0.67,0.089,0.889,76.97,15.0,1.67,9.0,,85.27,84.0,1.0,0.7556,,77.07,79.3,B,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gpt-5.4,openai,7658.33,1649.67,31.67,1.0,29.33,0.0,1.0,87.57,15.0,8.33,12.33,,231.1,232.0,1.0,0.8222,,92.63,91.23,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gpt-5.4-mini,openai,6188.0,1338.0,43.67,2.0,16.0,0.3113,1.0,92.77,15.0,6.33,12.0,,233.23,237.33,1.0,0.7778,,90.77,92.53,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
__mean_3_students__,gpt-5.4-nano,openai,7137.0,1420.0,66.33,14.0,21.0,0.4443,1.0,93.67,15.0,5.33,14.33,,236.13,229.67,1.0,0.8667,,91.33,93.2,A,"Trung bình cộng 3 học sinh (2102555, 2109886, 1585392_newstudent), đã loại gpt-5.4-pro."
